ROW,MOV_ID,TITLE,Budget,Reception,Recency,Length,Genre,Tempo,Fanfare
898,1143,Munich,0.6214,1.56,0.1711,-1.101,-1.5528,-1.9889,-0.461
899,1144,Kingdom of Heaven,0.9791,0.9297,0.3829,-1.2034,-1.8937,-0.9576,-1.1393
900,1145,Hostel,-0.1369,-0.6864,-0.0551,0.9075,-0.8349,0.3238,1.3756
901,1146,Savages,0.239,0.0897,-0.7557,-0.8803,0.4415,-1.5935,-0.3955
902,1147,Nanny McPhee,-0.0174,-0.4153,0.3211,0.8022,-0.9451,0.065,1.3707
903,1148,Kate and Leopold,0.0921,-0.0697,0.0625,-0.9194,-0.5141,0.4918,-0.0592
904,1149,Killers,0.6704,-1.9571,-0.0526,-1.3133,0.8462,-0.3482,-0.8729
905,1150,Shooter,0.4799,-0.5497,0.2288,-1.3156,0.7203,-0.7916,0.6383
906,1151,Halloween,-0.6071,0.3896,-2.4355,1.2069,-0.8128,-0.1787,0.6622
907,1152,Silent Hill,0.284,-1.6364,-0.0517,-0.576,0.1841,1.2011,-0.3725
908,1153,Final Destination 2,0.228,-1.1644,-0.2488,-1.1618,-0.2128,0.8903,-0.5589
909,1155,Goodfellas,-0.1926,2.1993,-1.3776,-0.5902,-0.2914,-1.2376,0.4901
910,1156,The River Wild,0.0462,0.3965,-1.4728,-0.2179,1.6053,-0.1524,0.6842
911,1158,Firefox,-0.1677,1.3046,-2.9438,-0.7766,0.2141,-2.363,-0.9599
912,1159,The Rocketeer,-0.0273,0.3046,-1.6546,0.0408,0.4964,0.7869,-0.5373
913,1163,Phone Booth,0.2485,-0.5294,-0.5737,-0.7519,-1.3816,-2.2999,0.5634
914,1164,The Legend of Zorro,0.7214,-0.4254,0.1749,-1.1805,-0.5488,-0.1423,-0.221
915,1165,Arthur Christmas,0.2372,-0.0723,0.9999,0.733,-0.8326,0.1437,2.2616
916,1167,The Best Exotic Marigold Hotel,-0.2436,0.4861,1.0188,-0.6885,-0.6561,1.113,0.2091
917,1169,Romeo + Juliet,-0.0805,0.2407,-0.4624,-0.1827,0.282,1.0855,0.1574
918,1170,Black Rain,0.1059,1.417,-2.1445,-0.482,0.6931,-1.403,0.0114
919,1171,One Fine Day,-0.3296,0.33,-0.902,0.1067,0.7374,1.3557,0.1068
920,1175,The Breakfast Club,-0.4405,0.6786,-1.3373,0.1996,0.3322,2.0684,-0.0992
921,1177,In Good Company,0.0654,0.2874,0.7168,-1.2455,-1.13,0.9876,-0.055
922,1180,Robocop 2,0.1785,0.0974,-1.7747,0.0198,2.6457,-0.4593,1.2242
923,1182,College Road Trip,0.0333,-1.9813,-0.181,0.3902,-1.1811,0.0546,-0.0392
924,1185,"O Brother, Where Art Thou?",-0.1215,1.1559,-0.2766,-1.577,0.4501,-1.6684,-0.0352
925,1186,Moonrise Kingdom,-0.4585,1.0205,1.0814,0.4847,-1.5263,-0.3963,1.5176
926,1187,Thelma and Louise,-0.2256,1.7117,-1.7178,-0.5213,-0.1753,-0.8418,-0.0577
927,1190,Zoolander,0.1389,-0.0016,0.3921,0.6027,-1.1254,0.2765,1.8678
928,1191,28 Days Later,-0.1983,1.0066,0.3938,-1.2712,-0.5125,0.1912,0.6892
929,1192,Hall Pass,0.2636,-0.9857,0.5377,-0.1999,-2.0381,-0.8428,0.6075
930,1193,Frequency,0.2826,-0.1513,-0.2887,-1.273,1.7607,-0.9848,1.8729
931,1194,The Way We Were,-0.3242,0.5785,-2.5545,0.4213,0.5958,1.3533,-0.1939
932,1196,Cop Out,0.2239,-1.1486,0.2939,-1.6691,-0.8705,0.2548,-0.5573
933,1197,Cop Land,0.0071,0.3185,-0.7298,-0.7901,0.3903,0.4869,0.6039
934,1199,The Good Son,-0.1669,-0.2285,-1.4686,1.1052,0.5639,-0.8431,1.3347
935,1201,The Artist,-0.4437,1.4508,1.7888,-0.6877,-0.1002,1.3739,0.9368
936,1202,Scarface,-0.3057,0.4133,-2.106,0.0806,0.0155,-0.5085,-0.2648
937,1203,Meet Joe Black,0.4036,-0.8832,-0.2874,0.093,0.0315,0.1621,-0.0926
938,1204,Lost in Translation,-0.3732,1.6064,1.0626,-1.0869,-0.0671,0.9198,1.5524
939,1205,The Negotiator,0.1942,-0.5483,-0.6682,-0.6883,0.8362,-0.3576,0.7318
940,1208,The Three Stooges,0.2313,-0.7525,0.2949,0.0641,-1.7647,-0.5936,0.8394
941,1209,Confessions of a Shopaholic,0.2564,-1.0447,0.3289,-0.6953,-0.1775,1.207,-0.35
942,1210,Amistad,-0.0486,1.496,-0.8574,-0.3038,-2.1992,-0.4514,-1.8223
943,1212,The Lovely Bones,0.8094,0.1817,0.6832,-0.9757,-0.6365,-0.3787,0.128
